,m2
1993-01-31,3419.1
1993-02-28,3414.5
1993-03-31,3411.7
1993-04-30,3411.3
1993-05-31,3436.9
1993-06-30,3442.4
1993-07-31,3442.0
1993-08-31,3445.7
1993-09-30,3452.2
1993-10-31,3456.7
1993-11-30,3470.1
1993-12-31,3474.5
1994-01-31,3474.9
1994-02-28,3475.7
1994-03-31,3480.1
1994-04-30,3481.3
1994-05-31,3490.8
1994-06-30,3479.5
1994-07-31,3488.2
1994-08-31,3485.7
1994-09-30,3486.1
1994-10-31,3484.3
1994-11-30,3487.2
1994-12-31,3486.4
1995-01-31,3492.4
1995-02-28,3489.9
1995-03-31,3491.1
1995-04-30,3499.2
1995-05-31,3524.2
1995-06-30,3548.9
1995-07-31,3567.4
1995-08-31,3589.0
1995-09-30,3602.1
1995-10-31,3613.4
1995-11-30,3619.9
1995-12-31,3629.5
1996-01-31,3647.9
1996-02-29,3661.8
1996-03-31,3686.9
1996-04-30,3697.7
1996-05-31,3709.6
1996-06-30,3722.5
1996-07-31,3737.1
1996-08-31,3744.0
1996-09-30,3753.4
1996-10-31,3772.8
1996-11-30,3795.1
1996-12-31,3818.6
1997-01-31,3834.6
1997-02-28,3846.3
1997-03-31,3861.2
1997-04-30,3877.0
1997-05-31,3889.2
1997-06-30,3906.0
1997-07-31,3923.9
1997-08-31,3957.4
1997-09-30,3973.1
1997-10-31,3992.3
1997-11-30,4014.8
1997-12-31,4032.9
1998-01-31,4056.2
1998-02-28,4088.9
1998-03-31,4114.3
1998-04-30,4140.2
1998-05-31,4164.4
1998-06-30,4184.1
1998-07-31,4203.8
1998-08-31,4228.7
1998-09-30,4267.7
1998-10-31,4307.9
1998-11-30,4346.6
1998-12-31,4375.6
1999-01-31,4403.0
1999-02-28,4425.8
1999-03-31,4432.6
1999-04-30,4461.4
1999-05-31,4486.1
1999-06-30,4508.0
1999-07-31,4535.4
1999-08-31,4552.7
1999-09-30,4568.8
1999-10-31,4592.7
1999-11-30,4611.8
1999-12-31,4639.3
2000-01-31,4667.6
2000-02-29,4680.9
2000-03-31,4711.7
2000-04-30,4767.8
2000-05-31,4755.7
2000-06-30,4773.6
2000-07-31,4791.3
2000-08-31,4819.5
2000-09-30,4855.2
2000-10-31,4871.3
2000-11-30,4882.7
2000-12-31,4927.6
2001-01-31,4978.3
2001-02-28,5017.0
2001-03-31,5074.8
2001-04-30,5139.1
2001-05-31,5137.2
2001-06-30,5180.1
2001-07-31,5210.0
2001-08-31,5243.8
2001-09-30,5355.1
2001-10-31,5343.8
2001-11-30,5387.5
2001-12-31,5440.5
2002-01-31,5460.9
2002-02-28,5490.2
2002-03-31,5502.0
2002-04-30,5502.1
2002-05-31,5528.3
2002-06-30,5553.3
2002-07-31,5596.0
2002-08-31,5638.3
2002-09-30,5662.3
2002-10-31,5707.1
2002-11-30,5758.1
2002-12-31,5779.4
2003-01-31,5812.1
2003-02-28,5848.2
2003-03-31,5868.4
2003-04-30,5905.5
2003-05-31,5965.3
2003-06-30,6002.2
2003-07-31,6049.1
2003-08-31,6107.1
2003-09-30,6079.7
2003-10-31,6070.0
2003-11-30,6075.5
2003-12-31,6073.8
2004-01-31,6082.1
2004-02-29,6121.8
2004-03-31,6157.9
2004-04-30,6198.9
2004-05-31,6275.7
2004-06-30,6277.9
2004-07-31,6291.1
2004-08-31,6317.8
2004-09-30,6352.2
2004-10-31,6379.8
2004-11-30,6406.3
2004-12-31,6424.5
2005-01-31,6430.8
2005-02-28,6438.9
2005-03-31,6448.3
2005-04-30,6461.8
2005-05-31,6479.0
2005-06-30,6511.7
2005-07-31,6543.5
2005-08-31,6576.3
2005-09-30,6610.1
2005-10-31,6643.9
2005-11-30,6660.7
2005-12-31,6687.8
2006-01-31,6730.1
2006-02-28,6754.7
2006-03-31,6769.3
2006-04-30,6806.9
2006-05-31,6813.7
2006-06-30,6851.8
2006-07-31,6893.6
2006-08-31,6925.1
2006-09-30,6952.4
2006-10-31,7001.7
2006-11-30,7037.2
2006-12-31,7080.1
2007-01-31,7118.3
2007-02-28,7134.3
2007-03-31,7168.2
2007-04-30,7240.7
2007-05-31,7254.6
2007-06-30,7287.8
2007-07-31,7318.7
2007-08-31,7394.8
2007-09-30,7413.0
2007-10-31,7428.1
2007-11-30,7453.6
2007-12-31,7483.9
2008-01-31,7517.5
2008-02-29,7604.0
2008-03-31,7670.0
2008-04-30,7712.5
2008-05-31,7725.2
2008-06-30,7743.9
2008-07-31,7791.2
2008-08-31,7805.8
2008-09-30,7872.4
2008-10-31,7974.9
2008-11-30,8027.0
2008-12-31,8204.7
2009-01-31,8289.0
2009-02-28,8319.3
2009-03-31,8386.4
2009-04-30,8391.1
2009-05-31,8449.2
2009-06-30,8459.3
2009-07-31,8463.5
2009-08-31,8463.0
2009-09-30,8461.6
2009-10-31,8487.9
2009-11-30,8517.0
2009-12-31,8512.2
2010-01-31,8477.7
2010-02-28,8527.3
2010-03-31,8523.5
2010-04-30,8554.8
2010-05-31,8609.0
2010-06-30,8628.1
2010-07-31,8639.5
2010-08-31,8687.9
2010-09-30,8718.7
2010-10-31,8768.4
2010-11-30,8789.0
2010-12-31,8823.2
2011-01-31,8849.0
2011-02-28,8913.3
2011-03-31,8971.5
2011-04-30,9035.1
2011-05-31,9107.8
2011-06-30,9182.1
2011-07-31,9344.2
2011-08-31,9531.0
2011-09-30,9551.5
2011-10-31,9584.4
2011-11-30,9636.5
2011-12-31,9683.9
2012-01-31,9757.6
2012-02-29,9809.8
2012-03-31,9853.9
2012-04-30,9907.7
2012-05-31,9951.4
2012-06-30,10021.6
2012-07-31,10074.5
2012-08-31,10145.6
2012-09-30,10226.1
2012-10-31,10292.4
2012-11-30,10361.9
2012-12-31,10484.1
2013-01-31,10508.1
2013-02-28,10527.5
2013-03-31,10583.8
2013-04-30,10611.3
2013-05-31,10646.1
2013-06-30,10703.3
2013-07-31,10742.8
2013-08-31,10801.2
2013-09-30,10862.0
2013-10-31,10986.3
2013-11-30,10995.6
2013-12-31,11060.1
2014-01-31,11130.8
2014-02-28,11196.8
2014-03-31,11232.6
2014-04-30,11277.7
2014-05-31,11342.8
2014-06-30,11398.1
2014-07-31,11453.0
2014-08-31,11477.3
2014-09-30,11519.1
2014-10-31,11593.1
2014-11-30,11634.2
2014-12-31,11717.6
2015-01-31,11805.2
2015-02-28,11922.8
2015-03-31,11920.5
2015-04-30,11954.6
2015-05-31,11982.6
2015-06-30,12023.2
2015-07-31,12067.0
2015-08-31,12112.0
2015-09-30,12173.9
2015-10-31,12225.2
2015-11-30,12317.0
2015-12-31,12387.9
2016-01-31,12518.5
2016-02-29,12603.9
2016-03-31,12661.8
2016-04-30,12743.2
2016-05-31,12802.0
2016-06-30,12852.5
2016-07-31,12911.9
2016-08-31,12989.7
2016-09-30,13054.9
2016-10-31,13122.8
2016-11-30,13208.7
2016-12-31,13234.9
2017-01-31,13315.7
2017-02-28,13394.8
2017-03-31,13463.6
2017-04-30,13521.7
2017-05-31,13568.9
2017-06-30,13580.5
2017-07-31,13643.1
2017-08-31,13697.7
2017-09-30,13745.1
2017-10-31,13800.1
2017-11-30,13843.5
2017-12-31,13881.7
2018-01-31,13900.3
2018-02-28,13949.3
2018-03-31,14012.7
2018-04-30,14035.9
2018-05-31,14092.4
2018-06-30,14137.2
2018-07-31,14174.6
2018-08-31,14223.2
2018-09-30,14245.5
2018-10-31,14256.6
2018-11-30,14282.8
2018-12-31,14386.8
2019-01-31,14459.7
2019-02-28,14506.3
2019-03-31,14557.5
2019-04-30,14594.7
2019-05-31,14704.4
2019-06-30,14802.8
2019-07-31,14886.8
2019-08-31,14974.4
2019-09-30,15047.0
2019-10-31,15184.1
2019-11-30,15296.0
2019-12-31,15347.5
2020-01-31,15427.1
2020-02-29,15493.4
2020-03-31,16033.0
2020-04-30,17065.3
2020-05-31,17932.9
2020-06-30,18184.3
2020-07-31,18335.4
2020-08-31,18411.2
2020-09-30,18602.5
2020-10-31,18757.6
2020-11-30,18997.0
2020-12-31,19115.7
